id,docid,type,eid,entity,author_year,prov,is_correct,category,expectation
957724,overlappingpdfs.133066.pdf.task,genus,TAXON_DOC_overlappingpdfs.133066.pdf.task_353_6_6,loriolella,"","{353,6,6,Loriolella}",,1,1
1251080,overlappingpdfs.130286.pdf.task,genus,TAXON_DOC_overlappingpdfs.130286.pdf.task_285_25_25,crurithyris,"","{285,25,25,Crurithyris}",,1,1
1043997,overlappingpdfs.138174.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.138174.pdf.task_990_15_15,inoceramus,"","{990,15,15,Inoceramus}",,1,0.996
976542,overlappingpdfs.139605.pdf.task,family,TAXON_DOC_overlappingpdfs.139605.pdf.task_14_15_15,antilocapridae,"","{14,15,15,Antilocapridae}",,1,1
1310321,overlappingpdfs.138601.pdf.task,genus,TAXON_DOC_overlappingpdfs.138601.pdf.task_3704_45_45,scaptomyza,"","{3704,45,45,Scaptomyza}",,1,0.996
1313443,overlappingpdfs.132724.pdf.task,genus,TAXON_DOC_overlappingpdfs.132724.pdf.task_39_0_0,protolacazella,"","{39,0,0,Protolacazella}",,1,1
1297750,overlappingpdfs.138462.pdf.task,genus,TAXON_DOC_overlappingpdfs.138462.pdf.task_2089_8_8,enaliarctos,"","{2089,8,8,Enaliarctos}",,1,1
1049629,overlappingpdfs.133027.pdf.task,genus,TAXON_DOC_overlappingpdfs.133027.pdf.task_251_1_1,scaphiocrinus,"","{251,1,1,Scaphiocrinus}",,1,1
936471,overlappingpdfs.132415.pdf.task,genus,TAXON_DOC_overlappingpdfs.132415.pdf.task_523_6_6,lepidotes,"","{523,6,6,Lepidotes}",,1,1
1301086,overlappingpdfs.132419.pdf.task,genus,TAXON_DOC_overlappingpdfs.132419.pdf.task_540_17_17,marlu,"","{540,17,17,Marlu}",,1,1
1140946,overlappingpdfs.138385.pdf.task,species,TAXON_DOC_overlappingpdfs.138385.pdf.task_121_8_9,palaeosinopa simpsoni,"","{121,8,9,""P. simpsoni""}",,1,1
1166362,overlappingpdfs.138141.pdf.task,species,TAXON_DOC_overlappingpdfs.138141.pdf.task_307_0_1,incacetus broggii,"","{307,0,1,""Incacetus broggii""}",,1,1
868087,overlappingpdfs.135292.pdf.task,genus,TAXON_DOC_overlappingpdfs.135292.pdf.task_118_1_1,flemingites,"","{118,1,1,Flemingites}",,1,1
1411395,overlappingpdfs.132455.pdf.task,genus,TAXON_DOC_overlappingpdfs.132455.pdf.task_548_6_6,metriorhynchus,"","{548,6,6,Metriorhynchus}",,1,1
1069980,overlappingpdfs.132706.pdf.task,species,TAXON_DOC_overlappingpdfs.132706.pdf.task_594_48_49,geikia locusticeps,"","{594,48,49,""Geikia locusticeps""}",,1,1
1231736,overlappingpdfs.138572.pdf.task,superfamily,TAXON_DOC_overlappingpdfs.138572.pdf.task_322_18_18,palpimanoidea,"","{322,18,18,Palpimanoidea}",,1,0.999
1164011,overlappingpdfs.138329.pdf.task,species,TAXON_DOC_overlappingpdfs.138329.pdf.task_1758_0_1,cycloseris elegans,"","{1758,0,1,""Cycloseris elegans""}",,1,1
1016815,overlappingpdfs.138622.pdf.task,species,TAXON_DOC_overlappingpdfs.138622.pdf.task_4778_23_24,paraenhydrocyon wallovianus,"","{4778,23,24,""Paraenhydrocyon wallovianus""}",,1,1
1389002,overlappingpdfs.132829.pdf.task,species,TAXON_DOC_overlappingpdfs.132829.pdf.task_707_9_10,micraster michelini,"","{707,9,10,""Micraster michelini""}",,1,0.996
1336293,overlappingpdfs.137387.pdf.task,species,TAXON_DOC_overlappingpdfs.137387.pdf.task_536_3_4,mesohippus bairdi,"","{536,3,4,""M. bairdi""}",,1,1
850976,overlappingpdfs.139033.pdf.task,family,TAXON_DOC_overlappingpdfs.139033.pdf.task_104_73_73,soricidae,"","{104,73,73,Soricidae}",,1,1
1003207,overlappingpdfs.138644.pdf.task,genus,TAXON_DOC_overlappingpdfs.138644.pdf.task_2830_3_3,mesobolbomyia,"","{2830,3,3,Mesobolbomyia}",,1,1
928023,overlappingpdfs.138761.pdf.task,genus,TAXON_DOC_overlappingpdfs.138761.pdf.task_7353_21_21,neuquenornis,"","{7353,21,21,Neuquenornis}",,1,0.988
1180049,overlappingpdfs.135105.pdf.task,genus,TAXON_DOC_overlappingpdfs.135105.pdf.task_197_18_18,peneroplis,"","{197,18,18,Peneroplis}",,1,1
1422961,overlappingpdfs.132621.pdf.task,genus,TAXON_DOC_overlappingpdfs.132621.pdf.task_503_25_25,lepidotes,"","{503,25,25,Lepidotes}",,1,1
1098258,overlappingpdfs.132440.pdf.task,genus,TAXON_DOC_overlappingpdfs.132440.pdf.task_970_1_1,acrodus,"","{970,1,1,Acrodus}",,1,1
1089220,overlappingpdfs.138613.pdf.task,genus,TAXON_DOC_overlappingpdfs.138613.pdf.task_1191_60_60,isonychia,"","{1191,60,60,Isonychia}",,1,0.996
1095630,overlappingpdfs.132567.pdf.task,species,TAXON_DOC_overlappingpdfs.132567.pdf.task_1169_0_1,phaenopora ordinarius,"","{1169,0,1,""Phaenopora ordinarius""}",,1,1
1119662,overlappingpdfs.138170.pdf.task,genus,TAXON_DOC_overlappingpdfs.138170.pdf.task_2408_50_50,palaeeudyptes,"","{2408,50,50,Palaeeudyptes}",,1,0.996
1250474,overlappingpdfs.137566.pdf.task,genus,TAXON_DOC_overlappingpdfs.137566.pdf.task_53_35_35,diadectes,"","{53,35,35,Diadectes}",,1,1
911721,overlappingpdfs.1374.pdf.task,genus,TAXON_DOC_overlappingpdfs.1374.pdf.task_558_12_12,crocodylus,"","{558,12,12,Crocodylus}",,1,1
1437204,overlappingpdfs.132619.pdf.task,species,TAXON_DOC_overlappingpdfs.132619.pdf.task_155_83_84,megatherium sundti,"","{155,83,84,""M. sundti""}",,1,1
918403,overlappingpdfs.131419.pdf.task,genus,TAXON_DOC_overlappingpdfs.131419.pdf.task_546_1_1,aphralysia,"","{546,1,1,Aphralysia}",,1,1
968126,overlappingpdfs.132521.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.132521.pdf.task_441_2_2,monotis,"","{441,2,2,Monotis}",,1,1
830824,overlappingpdfs.133469.pdf.task,family,TAXON_DOC_overlappingpdfs.133469.pdf.task_1127_0_0,ucumariidae,"","{1127,0,0,Ucumariidae}",,1,1
1002196,overlappingpdfs.138859.pdf.task,species,TAXON_DOC_overlappingpdfs.138859.pdf.task_471_35_36,delphinornis gracilis,"","{471,35,36,""Delphinornis gracilis""}",,1,0.996
1099638,overlappingpdfs.1346.pdf.task,genus,TAXON_DOC_overlappingpdfs.1346.pdf.task_903_0_0,kairuku,"","{903,0,0,Kairuku}",,1,1
1246827,overlappingpdfs.132836.pdf.task,genus,TAXON_DOC_overlappingpdfs.132836.pdf.task_665_5_5,girvanella,"","{665,5,5,Girvanella}",,1,1
1278470,overlappingpdfs.132317.pdf.task,class,TAXON_DOC_overlappingpdfs.132317.pdf.task_1073_3_3,reptilia,"","{1073,3,3,Reptilia}",,1,1
1329830,overlappingpdfs.138193.pdf.task,family,TAXON_DOC_overlappingpdfs.138193.pdf.task_709_10_10,polypedatidae,"","{709,10,10,Polypedatidae}",,1,1
1356517,overlappingpdfs.132226.pdf.task,unranked clade,TAXON_DOC_overlappingpdfs.132226.pdf.task_1507_4_4,crustacea,"","{1507,4,4,Crustacea}",,1,1
1349556,overlappingpdfs.132657.pdf.task,order,TAXON_DOC_overlappingpdfs.132657.pdf.task_388_6_6,hymenoptera,"","{388,6,6,Hymenoptera}",,1,0.996
1070781,overlappingpdfs.138678.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.138678.pdf.task_4458_3_3,electrapis,"","{4458,3,3,Electrapis}",,1,1
1016250,overlappingpdfs.138644.pdf.task,suborder,TAXON_DOC_overlappingpdfs.138644.pdf.task_2955_3_3,cyclorrhapha,"","{2955,3,3,Cyclorrhapha}",,1,1
1208646,overlappingpdfs.138538.pdf.task,genus,TAXON_DOC_overlappingpdfs.138538.pdf.task_2624_0_0,paratype,"","{2624,0,0,Paratype}",,1,1
1285169,overlappingpdfs.131147.pdf.task,species,TAXON_DOC_overlappingpdfs.131147.pdf.task_131_5_6,lithophyllum albanense,"","{131,5,6,""Lithophyllum albanense""}",,1,1
1235974,overlappingpdfs.132857.pdf.task,genus,TAXON_DOC_overlappingpdfs.132857.pdf.task_106_10_10,pseudananchys,"","{106,10,10,Pseudananchys}",,1,0.937
1041466,overlappingpdfs.133097.pdf.task,species,TAXON_DOC_overlappingpdfs.133097.pdf.task_723_32_33,avenius amatorum,"","{723,32,33,""A. amatorum""}",,1,1
1036159,overlappingpdfs.132348.pdf.task,species,TAXON_DOC_overlappingpdfs.132348.pdf.task_669_0_1,dromia neogenica,"","{669,0,1,""Dromia neogenica""}",,1,1
1157437,overlappingpdfs.133044.pdf.task,genus,TAXON_DOC_overlappingpdfs.133044.pdf.task_1681_0_0,trilobites,"","{1681,0,0,Trilobites}",,1,0.996
1376267,overlappingpdfs.138605.pdf.task,species,TAXON_DOC_overlappingpdfs.138605.pdf.task_5295_0_1,proganochelys quenstedti,"","{5295,0,1,""Proganochelys quenstedti""}",,1,1
1109233,overlappingpdfs.139932.pdf.task,species,TAXON_DOC_overlappingpdfs.139932.pdf.task_117_29_30,solenosteira semiglobosa,"","{117,29,30,""Solenosteira semiglobosa""}",,1,1
1408421,overlappingpdfs.138624.pdf.task,genus,TAXON_DOC_overlappingpdfs.138624.pdf.task_1555_30_30,gerastos,"","{1555,30,30,Gerastos}",,1,0.996
1447351,overlappingpdfs.138272.pdf.task,genus,TAXON_DOC_overlappingpdfs.138272.pdf.task_1540_13_13,meekella,"","{1540,13,13,Meekella}",,1,0.996
975480,overlappingpdfs.135476.pdf.task,genus,TAXON_DOC_overlappingpdfs.135476.pdf.task_351_5_5,plectothyrella,"","{351,5,5,Plectothyrella}",,1,1
975233,overlappingpdfs.138426.pdf.task,genus,TAXON_DOC_overlappingpdfs.138426.pdf.task_1904_5_5,lambdoceras,"","{1904,5,5,Lambdoceras}",,1,0.999
1189622,overlappingpdfs.133304.pdf.task,genus,TAXON_DOC_overlappingpdfs.133304.pdf.task_91_2_2,soroavisaurus,"","{91,2,2,Soroavisaurus}",,1,1
1333655,overlappingpdfs.132524.pdf.task,genus,TAXON_DOC_overlappingpdfs.132524.pdf.task_926_5_5,libonectes,"","{926,5,5,Libonectes}",,1,1
1269280,overlappingpdfs.130925.pdf.task,genus,TAXON_DOC_overlappingpdfs.130925.pdf.task_238_1_1,aristoceras,"","{238,1,1,Aristoceras}",,1,1
1057342,overlappingpdfs.132764.pdf.task,class,TAXON_DOC_overlappingpdfs.132764.pdf.task_694_17_17,pisces,"","{694,17,17,Pisces}",,1,0.996
1232719,overlappingpdfs.132574.pdf.task,species,TAXON_DOC_overlappingpdfs.132574.pdf.task_583_0_1,derbiocrinus diversus,"","{583,0,1,""Derbiocrinus diversus""}",,1,1
914197,overlappingpdfs.137444.pdf.task,genus,TAXON_DOC_overlappingpdfs.137444.pdf.task_1229_0_0,parahippus,"","{1229,0,0,Parahippus}",,1,1
1041945,overlappingpdfs.138658.pdf.task,species,TAXON_DOC_overlappingpdfs.138658.pdf.task_3007_10_11,greenops boothi,"","{3007,10,11,""G. boothi""}",,1,1
886638,overlappingpdfs.138129.pdf.task,genus,TAXON_DOC_overlappingpdfs.138129.pdf.task_278_11_11,anosteira,"","{278,11,11,Anosteira}",,1,1
1268571,overlappingpdfs.132282.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.132282.pdf.task_343_3_3,martinia,"","{343,3,3,Martinia}",,1,1
999355,overlappingpdfs.1368.pdf.task,genus,TAXON_DOC_overlappingpdfs.1368.pdf.task_684_29_29,lepidotes,"","{684,29,29,Lepidotes}",,1,1
1449935,overlappingpdfs.138665.pdf.task,genus,TAXON_DOC_overlappingpdfs.138665.pdf.task_2766_24_24,cherminotus,"","{2766,24,24,Cherminotus}",,1,1
1046695,overlappingpdfs.135704.pdf.task,class,TAXON_DOC_overlappingpdfs.135704.pdf.task_606_17_17,crinoidea,"","{606,17,17,Crinoidea}",,1,0.996
1215026,overlappingpdfs.13257.pdf.task,genus,TAXON_DOC_overlappingpdfs.13257.pdf.task_18_9_9,trias,"","{18,9,9,Trias}",,1,1
1257715,overlappingpdfs.137213.pdf.task,genus,TAXON_DOC_overlappingpdfs.137213.pdf.task_14078_0_0,euthydesma,"","{14078,0,0,Euthydesma}",,1,0.999
1040996,overlappingpdfs.132348.pdf.task,genus,TAXON_DOC_overlappingpdfs.132348.pdf.task_549_0_0,porcellana,"","{549,0,0,Porcellana}",,1,1
1124110,overlappingpdfs.133117.pdf.task,genus,TAXON_DOC_overlappingpdfs.133117.pdf.task_1010_0_0,lingula,"","{1010,0,0,Lingula}",,1,1
1181007,overlappingpdfs.132210.pdf.task,genus,TAXON_DOC_overlappingpdfs.132210.pdf.task_626_14_14,pliosaurus,"","{626,14,14,Pliosaurus}",,1,1
980464,overlappingpdfs.132333.pdf.task,subclass,TAXON_DOC_overlappingpdfs.132333.pdf.task_163_1_1,eogastropoda,"","{163,1,1,EOGASTROPODA}",,1,1
1054675,overlappingpdfs.138083.pdf.task,genus,TAXON_DOC_overlappingpdfs.138083.pdf.task_3740_2_2,haplobunodon,"","{3740,2,2,Haplobunodon}",,1,1
1368388,overlappingpdfs.132360.pdf.task,genus,TAXON_DOC_overlappingpdfs.132360.pdf.task_2072_0_0,stoliczka,"","{2072,0,0,STOLICZKA}",,1,1
1058704,overlappingpdfs.138678.pdf.task,genus,TAXON_DOC_overlappingpdfs.138678.pdf.task_5094_0_0,bombusoides,"","{5094,0,0,Bombusoides}",,1,1
979664,overlappingpdfs.138573.pdf.task,genus,TAXON_DOC_overlappingpdfs.138573.pdf.task_1520_25_25,parahippus,"","{1520,25,25,Parahippus}",,1,0.996
1297564,overlappingpdfs.138462.pdf.task,genus,TAXON_DOC_overlappingpdfs.138462.pdf.task_519_15_15,lyropecten,"","{519,15,15,Lyropecten}",,1,0.996
1387062,overlappingpdfs.132829.pdf.task,genus,TAXON_DOC_overlappingpdfs.132829.pdf.task_567_2_2,toxaster,"","{567,2,2,Toxaster}",,1,1
1389894,overlappingpdfs.133.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.133.pdf.task_67_22_22,poekilopleuron,"","{67,22,22,Poekilopleuron}",,1,1
1409209,overlappingpdfs.132767.pdf.task,class,TAXON_DOC_overlappingpdfs.132767.pdf.task_517_3_3,reptilia,"","{517,3,3,Reptilia}",,1,1
927097,overlappingpdfs.138026.pdf.task,suborder,TAXON_DOC_overlappingpdfs.138026.pdf.task_1208_3_3,sirenia,"","{1208,3,3,Sirenia}",,1,1
873647,overlappingpdfs.133024.pdf.task,species,TAXON_DOC_overlappingpdfs.133024.pdf.task_171_25_26,sagittarius serpentarius,"","{171,25,26,""Sagittarius serpentarius""}",,1,0.996
1316626,overlappingpdfs.138877.pdf.task,genus,TAXON_DOC_overlappingpdfs.138877.pdf.task_712_26_26,mouriri,"","{712,26,26,Mouriri}",,1,0.995
1000898,overlappingpdfs.138859.pdf.task,genus,TAXON_DOC_overlappingpdfs.138859.pdf.task_63_3_3,perudyptes,"","{63,3,3,Perudyptes}",,1,1
1072783,overlappingpdfs.1336.pdf.task,family,TAXON_DOC_overlappingpdfs.1336.pdf.task_86_1_1,phascolarctidae,"","{86,1,1,PHASCOLARCTIDAE}",,1,1
1162577,overlappingpdfs.138329.pdf.task,genus,TAXON_DOC_overlappingpdfs.138329.pdf.task_1994_2_2,astrangia,"","{1994,2,2,Astrangia}",,1,1
1221573,overlappingpdfs.130595.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.130595.pdf.task_170_16_16,pseudolimea,"","{170,16,16,Pseudolimea}",,1,1
851422,overlappingpdfs.132894.pdf.task,genus,TAXON_DOC_overlappingpdfs.132894.pdf.task_17_3_3,cerkesia,"","{17,3,3,Cerkesia}",,1,1
1140014,overlappingpdfs.138385.pdf.task,genus,TAXON_DOC_overlappingpdfs.138385.pdf.task_1986_27_27,aethechinus,"","{1986,27,27,Aethechinus}",,1,1
1071738,overlappingpdfs.138083.pdf.task,genus,TAXON_DOC_overlappingpdfs.138083.pdf.task_2743_0_0,amynodon,"","{2743,0,0,Amynodon}",,1,0.996
1383357,overlappingpdfs.132534.pdf.task,genus,TAXON_DOC_overlappingpdfs.132534.pdf.task_225_33_33,psiloceras,"","{225,33,33,Psiloceras}",,1,0.996
1078187,overlappingpdfs.131.pdf.task,suborder,TAXON_DOC_overlappingpdfs.131.pdf.task_1269_2_2,dinosauria,"","{1269,2,2,Dinosauria}",,1,1
1327311,overlappingpdfs.138165.pdf.task,genus,TAXON_DOC_overlappingpdfs.138165.pdf.task_528_10_10,machaeroprosopus,"","{528,10,10,Machaeroprosopus}",,1,1
1206275,overlappingpdfs.138127.pdf.task,genus,TAXON_DOC_overlappingpdfs.138127.pdf.task_1519_0_0,alberta,"","{1519,0,0,Alberta}",,1,1
1310164,overlappingpdfs.132140.pdf.task,unranked clade,TAXON_DOC_overlappingpdfs.132140.pdf.task_83_28_28,archosauriformes,"","{83,28,28,Archosauriformes}",,1,1
829058,overlappingpdfs.131777.pdf.task,genus,TAXON_DOC_overlappingpdfs.131777.pdf.task_368_11_11,lithophaga,"","{368,11,11,Lithophaga}",,1,1
1043291,overlappingpdfs.138174.pdf.task,genus,TAXON_DOC_overlappingpdfs.138174.pdf.task_848_20_20,mytilus,"","{848,20,20,Mytilus}",,1,1
983953,overlappingpdfs.132333.pdf.task,species,TAXON_DOC_overlappingpdfs.132333.pdf.task_1980_5_6,terebratula aspasia,"","{1980,5,6,""Terebratula aspasia""}",,1,1
949282,overlappingpdfs.131382.pdf.task,genus,TAXON_DOC_overlappingpdfs.131382.pdf.task_396_6_6,euphemites,"","{396,6,6,Euphemites}",,1,1
1042673,overlappingpdfs.132367.pdf.task,genus,TAXON_DOC_overlappingpdfs.132367.pdf.task_1288_1_1,semen,"","{1288,1,1,Semen}",,1,1
1205289,overlappingpdfs.132301.pdf.task,genus,TAXON_DOC_overlappingpdfs.132301.pdf.task_165_0_0,rhadinichthys,"","{165,0,0,Rhadinichthys}",,1,1
954050,overlappingpdfs.13358.pdf.task,genus,TAXON_DOC_overlappingpdfs.13358.pdf.task_491_44_44,physa,"","{491,44,44,Physa}",,1,1
1152982,overlappingpdfs.131701.pdf.task,family,TAXON_DOC_overlappingpdfs.131701.pdf.task_171_1_1,euomphalopteridae,"","{171,1,1,Euomphalopteridae}",,1,1
1241946,overlappingpdfs.135749.pdf.task,genus,TAXON_DOC_overlappingpdfs.135749.pdf.task_516_10_10,craspedobolbina,"","{516,10,10,Craspedobolbina}",,1,1
997329,overlappingpdfs.138622.pdf.task,genus,TAXON_DOC_overlappingpdfs.138622.pdf.task_4377_8_8,hesperocyon,"","{4377,8,8,Hesperocyon}",,1,1
862426,overlappingpdfs.136806.pdf.task,genus,TAXON_DOC_overlappingpdfs.136806.pdf.task_305_6_6,productella,"","{305,6,6,Productella}",,1,1
960348,overlappingpdfs.1334.pdf.task,unranked clade,TAXON_DOC_overlappingpdfs.1334.pdf.task_376_2_2,crocodyloidea,"","{376,2,2,Crocodyloidea}",,1,1
1028717,overlappingpdfs.138658.pdf.task,genus,TAXON_DOC_overlappingpdfs.138658.pdf.task_106_42_42,acastava,"","{106,42,42,Acastava}",,1,0.992
1028478,overlappingpdfs.132348.pdf.task,genus,TAXON_DOC_overlappingpdfs.132348.pdf.task_1002_2_2,daira,"","{1002,2,2,Daira}",,1,1
855935,overlappingpdfs.132418.pdf.task,genus,TAXON_DOC_overlappingpdfs.132418.pdf.task_248_33_33,legnonotus,"","{248,33,33,Legnonotus}",,1,1
1159641,overlappingpdfs.138329.pdf.task,species,TAXON_DOC_overlappingpdfs.138329.pdf.task_641_5_6,polinices bifasciatus,"","{641,5,6,""Polinices bifasciatus""}",,1,1
1406166,overlappingpdfs.138624.pdf.task,genus,TAXON_DOC_overlappingpdfs.138624.pdf.task_1460_14_14,crassiproetus,"","{1460,14,14,Crassiproetus}",,1,0.995
1112327,overlappingpdfs.138531.pdf.task,genus,TAXON_DOC_overlappingpdfs.138531.pdf.task_1225_15_15,peramus,"","{1225,15,15,Peramus}",,1,1
1115718,overlappingpdfs.136807.pdf.task,unranked clade,TAXON_DOC_overlappingpdfs.136807.pdf.task_874_13_13,bryozoa,"","{874,13,13,Bryozoa}",,1,1
1013867,overlappingpdfs.138859.pdf.task,family,TAXON_DOC_overlappingpdfs.138859.pdf.task_1106_3_3,spheniscidae,"","{1106,3,3,Spheniscidae}",,1,0.996
986698,overlappingpdfs.132805.pdf.task,genus,TAXON_DOC_overlappingpdfs.132805.pdf.task_54_29_29,zygopa,"","{54,29,29,Zygopa}",,1,1
1371741,overlappingpdfs.132360.pdf.task,genus,TAXON_DOC_overlappingpdfs.132360.pdf.task_2017_5_5,placenticeras,"","{2017,5,5,Placenticeras}",,1,1
908666,overlappingpdfs.135727.pdf.task,genus,TAXON_DOC_overlappingpdfs.135727.pdf.task_745_9_9,china,"","{745,9,9,China}",,1,1
929326,overlappingpdfs.138026.pdf.task,genus,TAXON_DOC_overlappingpdfs.138026.pdf.task_1132_19_19,dugong,"","{1132,19,19,Dugong}",,1,1
1042317,overlappingpdfs.130724.pdf.task,species,TAXON_DOC_overlappingpdfs.130724.pdf.task_265_24_25,metopaster chilipora,"","{265,24,25,""M. chilipora""}",,1,0.999
1099687,overlappingpdfs.133007.pdf.task,genus,TAXON_DOC_overlappingpdfs.133007.pdf.task_199_2_2,haplobunodon,"","{199,2,2,Haplobunodon}",,1,1
1113551,overlappingpdfs.132490.pdf.task,genus,TAXON_DOC_overlappingpdfs.132490.pdf.task_967_3_3,anotoceras,"","{967,3,3,Anotoceras}",,1,1
1056757,overlappingpdfs.138678.pdf.task,family,TAXON_DOC_overlappingpdfs.138678.pdf.task_1377_2_2,paleomelittidae,"","{1377,2,2,Paleomelittidae}",,1,1
1424701,overlappingpdfs.132526.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.132526.pdf.task_84_7_7,vishnuites,"","{84,7,7,Vishnuites}",,1,0.986
843864,overlappingpdfs.130698.pdf.task,genus,TAXON_DOC_overlappingpdfs.130698.pdf.task_153_4_4,echmatocrinus,"","{153,4,4,Echmatocrinus}",,1,1
1265019,overlappingpdfs.138313.pdf.task,genus,TAXON_DOC_overlappingpdfs.138313.pdf.task_1397_0_0,pentamerella,"","{1397,0,0,Pentamerella}",,1,1
807538,overlappingpdfs.138578.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.138578.pdf.task_2107_3_3,ptychopteria,"","{2107,3,3,Ptychopteria}",,1,1
960151,overlappingpdfs.1345.pdf.task,subfamily,TAXON_DOC_overlappingpdfs.1345.pdf.task_36_10_10,pomatodelphininae,"","{36,10,10,Pomatodelphininae}",,1,0.996
875151,overlappingpdfs.132122.pdf.task,genus,TAXON_DOC_overlappingpdfs.132122.pdf.task_41_6_6,abelodon,"","{41,6,6,Abelodon}",,1,1
806220,overlappingpdfs.137805.pdf.task,genus,TAXON_DOC_overlappingpdfs.137805.pdf.task_192_21_21,nothodectes,"","{192,21,21,Nothodectes}",,1,1
854759,overlappingpdfs.138593.pdf.task,family,TAXON_DOC_overlappingpdfs.138593.pdf.task_3410_17_17,trionychidae,"","{3410,17,17,Trionychidae}",,1,1
1322351,overlappingpdfs.133102.pdf.task,species,TAXON_DOC_overlappingpdfs.133102.pdf.task_429_12_13,albanerpeton arthridion,"","{429,12,13,""A. arthridion""}",,1,1
1321439,overlappingpdfs.130860.pdf.task,species,TAXON_DOC_overlappingpdfs.130860.pdf.task_147_15_16,rhizotrochus tuberculatus,"","{147,15,16,""Rhizotrochus tuberculatus""}",,1,1
1225683,overlappingpdfs.132812.pdf.task,genus,TAXON_DOC_overlappingpdfs.132812.pdf.task_539_4_4,eypea,"","{539,4,4,Eypea}",,1,1
1301216,overlappingpdfs.132370.pdf.task,family,TAXON_DOC_overlappingpdfs.132370.pdf.task_1228_24_24,nesticidae,"","{1228,24,24,Nesticidae}",,1,0.996
1171609,overlappingpdfs.133020.pdf.task,genus,TAXON_DOC_overlappingpdfs.133020.pdf.task_431_80_80,china,"","{431,80,80,China}",,1,0.996
1305186,overlappingpdfs.131905.pdf.task,class,TAXON_DOC_overlappingpdfs.131905.pdf.task_456_14_14,crinoidea,"","{456,14,14,Crinoidea}",,1,1
1055510,overlappingpdfs.132100.pdf.task,genus,TAXON_DOC_overlappingpdfs.132100.pdf.task_63_58_58,pardailhania,"","{63,58,58,Pardailhania}",,1,0.996
1196672,overlappingpdfs.133075.pdf.task,genus,TAXON_DOC_overlappingpdfs.133075.pdf.task_1352_12_12,sigmakainella,"","{1352,12,12,Sigmakainella}",,1,1
1322101,overlappingpdfs.135557.pdf.task,family,TAXON_DOC_overlappingpdfs.135557.pdf.task_279_12_12,waagenophyllidae,"","{279,12,12,Waagenophyllidae}",,1,1
891897,overlappingpdfs.138709.pdf.task,family,TAXON_DOC_overlappingpdfs.138709.pdf.task_3849_2_2,microsyopidae,"","{3849,2,2,Microsyopidae}",,1,1
1276034,overlappingpdfs.132435.pdf.task,genus,TAXON_DOC_overlappingpdfs.132435.pdf.task_987_0_0,tethys,"","{987,0,0,Tethys}",,1,1
