weight	pos_examples	neg_examples	queries	description
0.686899	9	0	53	relation_mention_lr-per:spouse_SEQ_INV_NGRAM_1_%|%~!girlfriend
0.679912	25	12	1851	relation_mention_lr-per:spouse_SEQ_NGRAM_1_%|%~!-lrb-
0.67528	23	1	146	relation_mention_lr-per:spouse_SEQ_NGRAM_1_%|%~!husband
0.673776	144	0	437	relation_mention_lr-per:title_SEQ_INV_WIN_NER_L_2_R_1_%|%O@|@NATIONALITY%|%O
0.673776	159	0	470	relation_mention_lr-per:title_SEQ_INV_WIN_NER_L_1_R_1_%|%NATIONALITY%|%O
0.673433	12	0	97	relation_mention_lr-per:spouse_SEQ_INV_NGRAM_1_%|%~!boyfriend
0.671658	19	8	493	relation_mention_lr-per:spouse_SEQ_INV_NER_%|%O@|@O@|@O@|@O
0.66766	94	10	1153	relation_mention_lr-per:spouse_SEQ_POS_%|%CC
0.659244	10	0	31	relation_mention_lr-per:employee_or_member_of_LEN_INV_LENGTHS_%|%11%|%13
0.653144	12	21	183	relation_mention_lr-per:parents_SEQ_NGRAM_1_%|%~!father
0.651559	7	5	102	relation_mention_lr-per:children_LEN_LENGTHS_%|%12%|%7
0.647722	2	3	289	relation_mention_lr-per:parents_DEP_INV_BETW_L_%|%nsubj@|@ccomp@|@nsubj
0.641791	8	29	602	relation_mention_lr-per:children_SEQ_INV_NER_%|%O@|@O@|@O
