weight	pos_examples	neg_examples	queries	description
-1.59703	0	478	8	relation_mention_lr-per:employee_or_member_of_SEQ_INV_POS_%|%
-1.59703	0	478	8	relation_mention_lr-per:employee_or_member_of_SEQ_INV_LEMMA_%|%
-1.59369	7	665	1078	relation_mention_lr-per:LOCATION_of_birth_IND_IS_INVERTED
-1.58824	6	666	1078	relation_mention_lr-per:LOCATION_of_residence_IND_IS_INVERTED
-1.57489	0	573	15956	relation_mention_lr-per:other_family_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.57252	0	478	8	relation_mention_lr-per:employee_or_member_of_SEQ_INV_NER_%|%
-1.50835	0	478	410	relation_mention_lr-per:spouse_SEQ_INV_WORD_%|%
-1.50835	0	478	410	relation_mention_lr-per:spouse_SEQ_INV_POS_%|%
-1.50835	0	478	410	relation_mention_lr-per:spouse_SEQ_INV_NER_%|%
-1.50835	0	478	410	relation_mention_lr-per:spouse_SEQ_INV_LEMMA_%|%
-1.48701	0	113	4783	relation_mention_lr-per:date_of_birth_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.48308	0	113	4783	relation_mention_lr-per:date_of_death_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.4767	3	139	1812	relation_mention_lr-per:LOCATION_of_death_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.46583	0	113	13	relation_mention_lr-per:schools_attended_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.45586	0	114	31	relation_mention_lr-per:parents_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.45381	0	113	5317	relation_mention_lr-per:age_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.41388	0	114	31	relation_mention_lr-per:children_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.38075	0	113	0	relation_mention_lr-per:cause_of_death_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.37629	0	113	7	relation_mention_lr-per:LOCATION_of_residence_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.36863	0	113	0	relation_mention_lr-per:religion_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.33217	7	141	1510	relation_mention_lr-per:spouse_IND_INV_KW_%|%founder
-1.32578	0	142	1812	relation_mention_lr-per:origin_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.32515	7	70	1510	relation_mention_lr-per:spouse_IND_KW_%|%founder
-1.31409	0	54	64	relation_mention_lr-per:siblings_LEN_LENGTHS_%|%11%|%9
-1.31178	4	140	1812	relation_mention_lr-per:LOCATION_of_birth_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.30406	0	113	7	relation_mention_lr-per:LOCATION_of_birth_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.30039	2	563	4320	relation_mention_lr-per:schools_attended_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.28392	0	494	2178	relation_mention_lr-per:date_of_death_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.28362	59	1011	18118	relation_mention_lr-per:children_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.27474	0	572	1077	relation_mention_lr-per:origin_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.27011	7	130	6313	relation_mention_lr-per:schools_attended_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.26695	0	113	7	relation_mention_lr-per:origin_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.24525	0	113	7	relation_mention_lr-per:LOCATION_of_death_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.22753	48	1020	18118	relation_mention_lr-per:parents_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.22408	0	95	13	relation_mention_lr-per:siblings_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%False
-1.18656	0	494	0	relation_mention_lr-per:cause_of_death_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.18387	53	528	15956	relation_mention_lr-per:parents_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.18365	1	571	1077	relation_mention_lr-per:LOCATION_of_death_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.18232	0	42	37	relation_mention_lr-per:employee_or_member_of_LEN_LENGTHS_%|%12%|%9
-1.18174	38	540	15956	relation_mention_lr-per:children_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.16584	7	137	1812	relation_mention_lr-per:LOCATION_of_residence_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.16091	0	836	15956	relation_mention_lr-per:other_family_SEQ_INV_WIN_NER_L_1_R_1_%|%O%|%O
-1.15855	0	114	31	relation_mention_lr-per:other_family_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.14454	0	494	0	relation_mention_lr-per:religion_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.14186	0	168	1472	relation_mention_lr-per:LOCATION_of_death_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.139	3	91	528	relation_mention_lr-org:LOCATION_of_headquarters_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.139	3	91	529	relation_mention_lr-org:LOCATION_of_headquarters_IND_IS_INVERTED
-1.12853	0	140	1081	relation_mention_lr-per:origin_SEQ_NGRAM_1_%|%~!,
-1.12791	0	494	2178	relation_mention_lr-per:date_of_birth_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.09514	5	165	1472	relation_mention_lr-per:LOCATION_of_residence_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.09493	0	305	10710	relation_mention_lr-per:other_family_SEQ_NGRAM_1_%|%~!,
-1.09154	0	168	1472	relation_mention_lr-per:origin_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.0868	38	803	15956	relation_mention_lr-per:parents_SEQ_INV_WIN_NER_L_1_R_1_%|%O%|%O
-1.07548	104	478	15956	relation_mention_lr-per:siblings_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.07511	7	161	5240	relation_mention_lr-per:schools_attended_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.0644	1	11	113	relation_mention_lr-per:spouse_LEN_INV_LENGTHS_%|%11%|%5
-1.0523	0	494	344	relation_mention_lr-per:age_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.04626	0	54	28	relation_mention_lr-per:employee_or_member_of_LEN_LENGTHS_%|%11%|%9
-1.04454	4	70	675	relation_mention_lr-org:LOCATION_of_headquarters_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.03733	0	306	7217	relation_mention_lr-per:other_family_SEQ_NGRAM_1_%|%~!and
-1.03594	0	42	53	relation_mention_lr-per:spouse_LEN_LENGTHS_%|%12%|%9
-1.03398	4	137	1081	relation_mention_lr-per:LOCATION_of_residence_SEQ_NGRAM_1_%|%~!,
-1.03354	7	79	1963	relation_mention_lr-per:siblings_SEQ_NGRAM_1_%|%~!with
-1.02271	0	208	62	relation_mention_lr-per:spouse_LEN_INV_LENGTHS_%|%11%|%9
-1.01051	0	208	15	relation_mention_lr-per:employee_or_member_of_LEN_INV_LENGTHS_%|%11%|%9
-1.00934	1	139	1081	relation_mention_lr-per:LOCATION_of_death_SEQ_NGRAM_1_%|%~!,
-1.00679	0	84	0	relation_mention_lr-per:cause_of_death_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
-1.00369	0	54	64	relation_mention_lr-per:parents_LEN_LENGTHS_%|%11%|%9
-1.00187	104	201	10710	relation_mention_lr-per:spouse_SEQ_NGRAM_1_%|%~!,
-0.999727	1	423	1013	relation_mention_lr-per:LOCATION_of_death_SEQ_INV_WIN_NER_L_1_R_1_%|%O%|%O
-0.989539	8	115	2686	relation_mention_lr-per:children_SEQ_NGRAM_1_%|%~!'s
-0.987356	16	99	1398	relation_mention_lr-per:siblings_SEQ_NGRAM_1_%|%~!she
-0.987123	0	424	1013	relation_mention_lr-per:origin_SEQ_INV_WIN_NER_L_1_R_1_%|%O%|%O
-0.977338	0	47	3896	relation_mention_lr-org:alternate_names_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-0.976121	4	166	1472	relation_mention_lr-per:LOCATION_of_birth_SEQ_WIN_NER_L_1_R_1_%|%O%|%O
