doc_id,id,mid1,mid2,word1,word2,rel,is_correct
APW_ENG_20070408.0077.LDC2009T13,121846,APW_ENG_20070408.0077.LDC2009T13_3765_3780,APW_ENG_20070408.0077.LDC2009T13_3755_3764,felipe calderon,president,per:date_of_death,f
AFP_ENG_20070116.0538.LDC2009T13,59523,AFP_ENG_20070116.0538.LDC2009T13_3072_3083,AFP_ENG_20070116.0538.LDC2009T13_3105_3113,tom vilsack,governor,per:other_family,f
APW_ENG_20070527.0852.LDC2009T13,153938,APW_ENG_20070527.0852.LDC2009T13_470_481,APW_ENG_20070527.0852.LDC2009T13_460_469,hugo chavez,president,per:LOCATION_of_death,f
APW_ENG_20080506.1399.LDC2009T13,289452,APW_ENG_20080506.1399.LDC2009T13_990_1004,APW_ENG_20080506.1399.LDC2009T13_980_989,george w. bush,president,per:origin,f
NYT_ENG_20070414.0032.LDC2009T13,217720,NYT_ENG_20070414.0032.LDC2009T13_3453_3464,NYT_ENG_20070414.0032.LDC2009T13_3475_3489,john havens,morgan stanley,per:schools_attended,f
NYT_ENG_20070328.0065.LDC2009T13,75864,NYT_ENG_20070328.0065.LDC2009T13_2254_2273,NYT_ENG_20070328.0065.LDC2009T13_2244_2253,lawrence h. summers,president,per:LOCATION_of_residence,f
AFP_ENG_20070109.0020.LDC2009T13,115355,AFP_ENG_20070109.0020.LDC2009T13_332_343,AFP_ENG_20070109.0020.LDC2009T13_322_331,hugo chavez,president,per:other_family,f
NYT_ENG_20071211.0220.LDC2009T13,88312,NYT_ENG_20071211.0220.LDC2009T13_1771_1780,NYT_ENG_20071211.0220.LDC2009T13_1705_1721,citigroup,sanford i. weill,org:LOCATION_of_headquarters,f
APW_ENG_20070131.0868.LDC2009T13,217564,APW_ENG_20070131.0868.LDC2009T13_1779_1793,APW_ENG_20070131.0868.LDC2009T13_1769_1778,vladimir putin,president,per:other_family,f
AFP_ENG_20080821.0703.LDC2009T13,326246,AFP_ENG_20080821.0703.LDC2009T13_3987_4003,AFP_ENG_20080821.0703.LDC2009T13_3976_3985,pervez musharraf,president,per:schools_attended,f
eng-WL-11-174595-12968146,238943,eng-WL-11-174595-12968146_2962_2973,eng-WL-11-174595-12968146_2929_2944,anna nicole,howard k. stern,per:other_family,f
APW_ENG_20071116.1329.LDC2009T13,319853,APW_ENG_20071116.1329.LDC2009T13_1106_1117,APW_ENG_20071116.1329.LDC2009T13_1036_1043,lee kun-hee,samsung,per:LOCATION_of_residence,f
APW_ENG_20080219.0651.LDC2009T13,59701,APW_ENG_20080219.0651.LDC2009T13_169_185,APW_ENG_20080219.0651.LDC2009T13_202_201,fidel castro ruz,president,per:origin,f
AFP_ENG_20070726.0706.LDC2009T13,128033,AFP_ENG_20070726.0706.LDC2009T13_384_389,AFP_ENG_20070726.0706.LDC2009T13_260_271,fidel,raul castro,per:children,f
eng-WL-11-174595-12968460,297420,eng-WL-11-174595-12968460_10099_10112,eng-WL-11-174595-12968460_10158_10177,amy winehouse,blake fielder-civil,per:other_family,f
APW_ENG_20070120.0204.LDC2009T13,340679,APW_ENG_20070120.0204.LDC2009T13_7288_7299,APW_ENG_20070120.0204.LDC2009T13_7278_7287,hugo chavez,president,per:religion,f
AFP_ENG_20071111.0030.LDC2009T13,68574,AFP_ENG_20071111.0030.LDC2009T13_4204_4215,AFP_ENG_20071111.0030.LDC2009T13_4281_4290,evo morales,president,per:employee_or_member_of,f
eng-WL-11-174595-12968036,175059,eng-WL-11-174595-12968036_4470_4474,eng-WL-11-174595-12968036_4481_4495,tina,mathew knowles,per:other_family,f
NYT_ENG_20071119.0253.LDC2009T13,326306,NYT_ENG_20071119.0253.LDC2009T13_1739_1750,NYT_ENG_20071119.0253.LDC2009T13_1560_1567,lee kun-hee,samsung,per:title,f
APW_ENG_20080325.1369.LDC2009T13,26687,APW_ENG_20080325.1369.LDC2009T13_326_337,APW_ENG_20080325.1369.LDC2009T13_316_325,hugo chavez,president,per:employee_or_member_of,f
XIN_ENG_20071230.0008.LDC2009T13,204088,XIN_ENG_20071230.0008.LDC2009T13_669_680,XIN_ENG_20071230.0008.LDC2009T13_659_668,raul castro,president,per:religion,f
AFP_ENG_20070726.0224.LDC2009T13,108848,AFP_ENG_20070726.0224.LDC2009T13_2283_2294,AFP_ENG_20070726.0224.LDC2009T13_2267_2279,raul castro,fidel castro,per:other_family,f
AFP_ENG_20071118.0136.LDC2009T13,68416,AFP_ENG_20071118.0136.LDC2009T13_3044_3063,AFP_ENG_20071118.0136.LDC2009T13_3034_3043,mahmoud ahmadinejad,president,per:LOCATION_of_birth,f
eng-WL-11-174595-12968331,174633,eng-WL-11-174595-12968331_14862_14874,eng-WL-11-174595-12968331_14839_14845,eddie murphy,mel b.,per:children,f
AFP_ENG_20080429.0756.LDC2009T13,75682,AFP_ENG_20080429.0756.LDC2009T13_758_769,AFP_ENG_20080429.0756.LDC2009T13_828_837,raul castro,president,per:employee_or_member_of,f
NYT_ENG_20080422.0012.LDC2009T13,230110,NYT_ENG_20080422.0012.LDC2009T13_273_284,NYT_ENG_20080422.0012.LDC2009T13_258_271,lee kun-hee,samsung group,per:LOCATION_of_residence,f
NYT_ENG_20080224.0178.LDC2009T13,175006,NYT_ENG_20080224.0178.LDC2009T13_5383_5394,NYT_ENG_20080224.0178.LDC2009T13_5409_5418,raul castro,president,per:LOCATION_of_death,f
NYT_ENG_20081215.0225.LDC2009T13,88324,NYT_ENG_20081215.0225.LDC2009T13_477_483,NYT_ENG_20081215.0225.LDC2009T13_633_647,andrew,bernard madoff,per:spouse,f
AFP_ENG_20070525.0016.LDC2009T13,88411,AFP_ENG_20070525.0016.LDC2009T13_9120_9129,AFP_ENG_20070525.0016.LDC2009T13_9110_9119,hu jintao,president,per:children,f
AFP_ENG_20070501.0170.LDC2009T13,297660,AFP_ENG_20070501.0170.LDC2009T13_344_356,AFP_ENG_20070501.0170.LDC2009T13_334_343,fidel castro,president,per:other_family,f
APW_ENG_20080325.1240.LDC2009T13,161066,APW_ENG_20080325.1240.LDC2009T13_366_377,APW_ENG_20080325.1240.LDC2009T13_356_365,hugo chavez,president,per:schools_attended,f
APW_ENG_20070201.0226.LDC2009T13,47258,APW_ENG_20070201.0226.LDC2009T13_294_305,APW_ENG_20070201.0226.LDC2009T13_284_293,hugo chavez,president,per:LOCATION_of_death,f
eng-WL-11-174594-12961460,154003,eng-WL-11-174594-12961460_1022_1029,eng-WL-11-174594-12961460_1010_1016,britney,mccomb,per:LOCATION_of_residence,f
AFP_ENG_20080922.0475.LDC2009T13,260820,AFP_ENG_20080922.0475.LDC2009T13_2469_2484,AFP_ENG_20080922.0475.LDC2009T13_2459_2468,nicolas sarkozy,president,per:LOCATION_of_death,f
eng-NG-31-142161-10036583,127893,eng-NG-31-142161-10036583_991_1003,eng-NG-31-142161-10036583_981_990,fidel castro,president,per:children,f
AFP_ENG_20070525.0016.LDC2009T13,88190,AFP_ENG_20070525.0016.LDC2009T13_709_722,AFP_ENG_20070525.0016.LDC2009T13_699_708,hosni mubarak,president,per:age,f
AFP_ENG_20080821.0703.LDC2009T13,326419,AFP_ENG_20080821.0703.LDC2009T13_3987_4003,AFP_ENG_20080821.0703.LDC2009T13_3976_3985,pervez musharraf,president,per:employee_or_member_of,f
XIN_ENG_20081106.0203.LDC2009T13,285140,XIN_ENG_20081106.0203.LDC2009T13_508_519,XIN_ENG_20081106.0203.LDC2009T13_498_507,hugo chavez,president,per:cause_of_death,f
APW_ENG_20070209.1995.LDC2009T13,326219,APW_ENG_20070209.1995.LDC2009T13_324_335,APW_ENG_20070209.1995.LDC2009T13_314_323,hugo chavez,president,per:LOCATION_of_birth,f
APW_ENG_20070215.1494.LDC2009T13,136488,APW_ENG_20070215.1494.LDC2009T13_1692_1703,APW_ENG_20070215.1494.LDC2009T13_1682_1691,hugo chavez,president,per:LOCATION_of_birth,f
XIN_ENG_20080226.0090.LDC2009T13,340548,XIN_ENG_20080226.0090.LDC2009T13_351_363,XIN_ENG_20080226.0090.LDC2009T13_315_326,fidel castro,raul castro,per:children,f
NYT_ENG_20080418.0011.LDC2009T13,245731,NYT_ENG_20080418.0011.LDC2009T13_501_504,NYT_ENG_20080418.0011.LDC2009T13_640_647,lee,samsung,per:LOCATION_of_residence,f
eng-WL-11-174595-12968460,297355,eng-WL-11-174595-12968460_8801_8822,eng-WL-11-174595-12968460_8664_8677,david beckham academy,david beckham,org:LOCATION_of_headquarters,f
APW_ENG_20070302.0801.LDC2009T13,239070,APW_ENG_20070302.0801.LDC2009T13_8928_8939,APW_ENG_20070302.0801.LDC2009T13_8918_8927,hugo chavez,president,per:religion,f
APW_ENG_20070317.0870.LDC2009T13,108865,APW_ENG_20070317.0870.LDC2009T13_2015_2026,APW_ENG_20070317.0870.LDC2009T13_2005_2014,evo morales,president,per:LOCATION_of_residence,f
APW_ENG_20081023.0044.LDC2009T13,340674,APW_ENG_20081023.0044.LDC2009T13_769_783,APW_ENG_20081023.0044.LDC2009T13_759_768,george w. bush,president,per:LOCATION_of_birth,f
NYT_ENG_20070917.0011.LDC2009T13,52897,NYT_ENG_20070917.0011.LDC2009T13_375_388,NYT_ENG_20070917.0011.LDC2009T13_366_374,deval patrick,governor,per:LOCATION_of_residence,f
APW_ENG_20080726.0678.LDC2009T13,23275,APW_ENG_20080726.0678.LDC2009T13_398_403,APW_ENG_20080726.0678.LDC2009T13_308_317,fidel,president,per:date_of_birth,f
XIN_ENG_20080304.0475.LDC2009T13,115501,XIN_ENG_20080304.0475.LDC2009T13_1622_1635,XIN_ENG_20080304.0475.LDC2009T13_1612_1621,rafael correa,president,per:date_of_birth,f
APW_ENG_20081123.0159.LDC2009T13,47310,APW_ENG_20081123.0159.LDC2009T13_287_298,APW_ENG_20081123.0159.LDC2009T13_277_286,hugo chavez,president,per:children,f
AFP_ENG_20070726.0706.LDC2009T13,128048,AFP_ENG_20070726.0706.LDC2009T13_260_271,AFP_ENG_20070726.0706.LDC2009T13_250_259,raul castro,president,per:cause_of_death,f
APW_ENG_20071202.0117.LDC2009T13,68464,APW_ENG_20071202.0117.LDC2009T13_2821_2834,APW_ENG_20071202.0117.LDC2009T13_2914_2923,daniel ortega,president,per:date_of_birth,f
XIN_ENG_20080923.0285.LDC2009T13,297433,XIN_ENG_20080923.0285.LDC2009T13_414_423,XIN_ENG_20080923.0285.LDC2009T13_404_413,hu jintao,president,per:spouse,f
APW_ENG_20080726.0678.LDC2009T13,23331,APW_ENG_20080726.0678.LDC2009T13_398_403,APW_ENG_20080726.0678.LDC2009T13_318_329,fidel,raul castro,per:other_family,f
AFP_ENG_20071020.0260.LDC2009T13,266095,AFP_ENG_20071020.0260.LDC2009T13_450_469,AFP_ENG_20071020.0260.LDC2009T13_440_449,mahmoud ahmadinejad,president,per:siblings,f
AFP_ENG_20080302.0171.LDC2009T13,121708,AFP_ENG_20080302.0171.LDC2009T13_254_265,AFP_ENG_20080302.0171.LDC2009T13_244_253,hugo chavez,president,per:origin,f
AFP_ENG_20070116.0538.LDC2009T13,59436,AFP_ENG_20070116.0538.LDC2009T13_4230_4242,AFP_ENG_20070116.0538.LDC2009T13_4220_4229,bill clinton,president,per:siblings,f
NYT_ENG_20070327.0012.LDC2009T13,68245,NYT_ENG_20070327.0012.LDC2009T13_254_266,NYT_ENG_20070327.0012.LDC2009T13_276_285,bill clinton,president,per:schools_attended,f
APW_ENG_20080131.0593.LDC2009T13,311292,APW_ENG_20080131.0593.LDC2009T13_1063_1074,APW_ENG_20080131.0593.LDC2009T13_1040_1053,lee kun-hee,samsung group,per:title,f
NYT_ENG_20080226.0154.LDC2009T13,209,NYT_ENG_20080226.0154.LDC2009T13_381_392,NYT_ENG_20080226.0154.LDC2009T13_301_310,hugo chavez,president,per:LOCATION_of_death,f
APW_ENG_20080118.1175.LDC2009T13,127962,APW_ENG_20080118.1175.LDC2009T13_387_398,APW_ENG_20080118.1175.LDC2009T13_377_386,hugo chavez,president,per:origin,f
APW_ENG_20080107.0632.LDC2009T13,210199,APW_ENG_20080107.0632.LDC2009T13_310_321,APW_ENG_20080107.0632.LDC2009T13_418_427,hugo chavez,president,per:spouse,f
APW_ENG_20070407.0622.LDC2009T13,285169,APW_ENG_20070407.0622.LDC2009T13_3678_3693,APW_ENG_20070407.0622.LDC2009T13_3668_3677,felipe calderon,president,per:LOCATION_of_death,f
NYT_ENG_20071206.0073.LDC2009T13,191524,NYT_ENG_20071206.0073.LDC2009T13_735_743,NYT_ENG_20071206.0073.LDC2009T13_714_726,michelle,barack obama,per:siblings,f
AFP_ENG_20070612.0483.LDC2009T13,141186,AFP_ENG_20070612.0483.LDC2009T13_481_492,AFP_ENG_20070612.0483.LDC2009T13_431_443,raul castro,fidel castro,per:spouse,f
XIN_ENG_20080226.0090.LDC2009T13,340671,XIN_ENG_20080226.0090.LDC2009T13_1217_1228,XIN_ENG_20080226.0090.LDC2009T13_1254_1263,raul castro,president,per:spouse,f
XIN_ENG_20050522.0148.LDC2007T07,136637,XIN_ENG_20050522.0148.LDC2007T07_1700_1716,XIN_ENG_20050522.0148.LDC2007T07_1690_1699,mohammad khatami,president,per:origin,f
AFP_ENG_20071202.0579.LDC2009T13,9098,AFP_ENG_20071202.0579.LDC2009T13_444_455,AFP_ENG_20071202.0579.LDC2009T13_469_478,hugo chavez,president,per:date_of_death,f
LTW_ENG_20080513.0059.LDC2009T13,185371,LTW_ENG_20080513.0059.LDC2009T13_879_892,LTW_ENG_20080513.0059.LDC2009T13_862_874,spencer pratt,heidi montag,per:siblings,f
NYT_ENG_20070328.0065.LDC2009T13,75708,NYT_ENG_20070328.0065.LDC2009T13_2254_2273,NYT_ENG_20070328.0065.LDC2009T13_2244_2253,lawrence h. summers,president,per:cause_of_death,f
APW_ENG_20070217.0243.LDC2009T13,311190,APW_ENG_20070217.0243.LDC2009T13_1244_1258,APW_ENG_20070217.0243.LDC2009T13_1234_1243,george w. bush,president,per:date_of_birth,f
eng-WL-11-174595-12967490,297258,eng-WL-11-174595-12967490_6807_6812,eng-WL-11-174595-12967490_6775_6780,kenny,renée,per:title,f
AFP_ENG_20080516.0661.LDC2009T13,217581,AFP_ENG_20080516.0661.LDC2009T13_1771_1782,AFP_ENG_20080516.0661.LDC2009T13_1761_1770,hugo chavez,president,per:other_family,f
eng-WL-11-174594-12961460,153900,eng-WL-11-174594-12961460_1022_1029,eng-WL-11-174594-12961460_871_881,britney,jamie lynn,per:children,f
APW_ENG_20080329.0852.LDC2009T13,254435,APW_ENG_20080329.0852.LDC2009T13_357_368,APW_ENG_20080329.0852.LDC2009T13_347_356,hugo chavez,president,per:age,f
eng-WL-11-174595-12967958,319770,eng-WL-11-174595-12967958_9303_9312,eng-WL-11-174595-12967958_9333_9337,brad pitt,doug,per:other_family,f
eng-WL-107-174567-12933036,59718,eng-WL-107-174567-12933036_3800_3812,eng-WL-107-174567-12933036_3773_3780,jamie spears,britney,per:parents,f
APW_ENG_20070302.0801.LDC2009T13,239172,APW_ENG_20070302.0801.LDC2009T13_4295_4309,APW_ENG_20070302.0801.LDC2009T13_4285_4294,vladimir putin,president,per:cause_of_death,f
APW_ENG_20080709.0778.LDC2009T13,32493,APW_ENG_20080709.0778.LDC2009T13_1753_1765,APW_ENG_20080709.0778.LDC2009T13_1790_1797,lynne spears,britney,per:parents,f
AFP_ENG_20080917.0101.LDC2009T13,115484,AFP_ENG_20080917.0101.LDC2009T13_273_284,AFP_ENG_20080917.0101.LDC2009T13_263_272,hugo chavez,president,per:religion,f
NYT_ENG_20071206.0073.LDC2009T13,191097,NYT_ENG_20071206.0073.LDC2009T13_714_726,NYT_ENG_20071206.0073.LDC2009T13_735_743,barack obama,michelle,per:other_family,f
eng-WL-11-174598-12964778,191127,eng-WL-11-174598-12964778_7336_7348,eng-WL-11-174598-12964778_7326_7335,bill clinton,president,per:siblings,f
eng-WL-11-174595-12968276,68518,eng-WL-11-174595-12968276_2129_2136,eng-WL-11-174595-12968276_2051_2056,britney,lynne,per:siblings,f
AFP_ENG_20070525.0016.LDC2009T13,88571,AFP_ENG_20070525.0016.LDC2009T13_7578_7592,AFP_ENG_20070525.0016.LDC2009T13_7568_7577,george w. bush,president,per:siblings,f
AFP_ENG_20080314.0085.LDC2009T13,32598,AFP_ENG_20080314.0085.LDC2009T13_358_369,AFP_ENG_20080314.0085.LDC2009T13_383_392,raul castro,president,per:cause_of_death,f
APW_ENG_20080207.0029.LDC2009T13,59512,APW_ENG_20080207.0029.LDC2009T13_2563_2572,APW_ENG_20080207.0029.LDC2009T13_2586_2602,eric dane,rebecca gayheart,per:other_family,f
eng-WL-11-174587-12962628,254180,eng-WL-11-174587-12962628_172_185,eng-WL-11-174587-12962628_155_167,spencer pratt,heidi montag,per:children,f
eng-WL-11-174594-12961460,153858,eng-WL-11-174594-12961460_439_444,eng-WL-11-174594-12961460_342_356,jamie,britney spears,per:children,f
eng-WL-11-174595-12967831,331844,eng-WL-11-174595-12967831_4528_4535,eng-WL-11-174595-12967831_4452_4463,vanessa,nick lachey,per:parents,f
eng-WL-11-174611-12980918,191086,eng-WL-11-174611-12980918_1031_1044,eng-WL-11-174611-12980918_1022_1030,deval patrick,governor,per:children,f
APW_ENG_20071012.0355.LDC2009T13,115635,APW_ENG_20071012.0355.LDC2009T13_1703_1712,APW_ENG_20071012.0355.LDC2009T13_1736_1740,citigroup,citi,org:LOCATION_of_headquarters,f
NYT_ENG_20070327.0226.LDC2009T13,261046,NYT_ENG_20070327.0226.LDC2009T13_2254_2273,NYT_ENG_20070327.0226.LDC2009T13_2244_2253,lawrence h. summers,president,per:other_family,f
XIN_ENG_20071230.0008.LDC2009T13,203941,XIN_ENG_20071230.0008.LDC2009T13_444_457,XIN_ENG_20071230.0008.LDC2009T13_434_443,mahmoud abbas,president,per:origin,f
AFP_ENG_20080116.0126.LDC2009T13,297417,AFP_ENG_20080116.0126.LDC2009T13_390_415,AFP_ENG_20080116.0126.LDC2009T13_380_389,luiz inacio lula da silva,president,per:date_of_birth,f
APW_ENG_20080107.0632.LDC2009T13,210110,APW_ENG_20080107.0632.LDC2009T13_466_478,APW_ENG_20080107.0632.LDC2009T13_300_309,fidel castro,president,per:LOCATION_of_residence,f
APW_ENG_20071116.0402.LDC2009T13,230098,APW_ENG_20071116.0402.LDC2009T13_1719_1731,APW_ENG_20071116.0402.LDC2009T13_1709_1718,roh moo-hyun,president,per:cause_of_death,f
AFP_ENG_20080711.0272.LDC2009T13,26656,AFP_ENG_20080711.0272.LDC2009T13_584_596,AFP_ENG_20080711.0272.LDC2009T13_234_243,fidel castro,president,per:children,f
APW_ENG_20070215.1494.LDC2009T13,136394,APW_ENG_20070215.1494.LDC2009T13_1692_1703,APW_ENG_20070215.1494.LDC2009T13_1682_1691,hugo chavez,president,per:LOCATION_of_death,f
APW_ENG_20070413.1297.LDC2009T13,185260,APW_ENG_20070413.1297.LDC2009T13_1259_1270,APW_ENG_20070413.1297.LDC2009T13_1378_1382,john havens,citi,per:LOCATION_of_residence,f
AFP_ENG_20070803.0106.LDC2009T13,230153,AFP_ENG_20070803.0106.LDC2009T13_2379_2385,AFP_ENG_20070803.0106.LDC2009T13_2229_2238,mobutu,president,per:employee_or_member_of,f
AFP_ENG_20071004.0637.LDC2009T13,161172,AFP_ENG_20071004.0637.LDC2009T13_1725_1730,AFP_ENG_20071004.0637.LDC2009T13_1571_1580,fidel,president,per:origin,f
AFP_ENG_20080523.0199.LDC2009T13,340600,AFP_ENG_20080523.0199.LDC2009T13_1064_1083,AFP_ENG_20080523.0199.LDC2009T13_1054_1063,francois mitterrand,president,per:employee_or_member_of,f
eng-WL-11-174594-12963522,26673,eng-WL-11-174594-12963522_1944_1954,eng-WL-11-174594-12963522_1921_1935,jamie lynn,britney spears,per:title,f
XIN_ENG_20080224.0243.LDC2009T13,115620,XIN_ENG_20080224.0243.LDC2009T13_274_285,XIN_ENG_20080224.0243.LDC2009T13_298_307,raul castro,president,per:age,f
APW_ENG_20070405.1401.LDC2009T13,59818,APW_ENG_20070405.1401.LDC2009T13_2766_2779,APW_ENG_20070405.1401.LDC2009T13_2756_2765,rafael correa,president,per:other_family,f
AFP_ENG_20080110.0782.LDC2009T13,115420,AFP_ENG_20080110.0782.LDC2009T13_941_956,AFP_ENG_20080110.0782.LDC2009T13_806_818,hillary clinton,bill clinton,per:other_family,f
APW_ENG_20080224.0839.LDC2009T13,326057,APW_ENG_20080224.0839.LDC2009T13_234_245,APW_ENG_20080224.0839.LDC2009T13_273_285,raul castro,fidel castro,per:parents,f
eng-WL-11-174595-12968331,174889,eng-WL-11-174595-12968331_6750_6756,eng-WL-11-174595-12968331_6707_6718,nicole,joel madden,per:parents,f
APW_ENG_20070120.0204.LDC2009T13,340720,APW_ENG_20070120.0204.LDC2009T13_8517_8530,APW_ENG_20070120.0204.LDC2009T13_8568_8577,mahmoud abbas,president,per:schools_attended,f
APW_ENG_20070118.0937.LDC2009T13,95747,APW_ENG_20070118.0937.LDC2009T13_1731_1747,APW_ENG_20070118.0937.LDC2009T13_1678_1691,phillippi sparks,jordin sparks,per:spouse,f
NYT_ENG_20080313.0254.LDC2009T13,319927,NYT_ENG_20080313.0254.LDC2009T13_476_493,NYT_ENG_20080313.0254.LDC2009T13_515_524,old lane partners,citigroup,org:alternate_names,f
AFP_ENG_20080812.0393.LDC2009T13,36620,AFP_ENG_20080812.0393.LDC2009T13_1428_1442,AFP_ENG_20080812.0393.LDC2009T13_1418_1427,george w. bush,president,per:date_of_death,f
LTW_ENG_20081120.0031.LDC2009T13,254344,LTW_ENG_20081120.0031.LDC2009T13_6111_6123,LTW_ENG_20081120.0031.LDC2009T13_5918_5930,tina knowles,sasha fierce,per:title,f
NYT_ENG_20080313.0254.LDC2009T13,319790,NYT_ENG_20080313.0254.LDC2009T13_1618_1632,NYT_ENG_20080313.0254.LDC2009T13_1746_1755,lewis b. kaden,citigroup,per:title,f
eng-WL-11-174595-12968424,9418,eng-WL-11-174595-12968424_2806_2813,eng-WL-11-174595-12968424_2734_2749,britney,kevin federline,per:other_family,f
eng-WL-11-174595-12967490,297341,eng-WL-11-174595-12967490_7253_7270,eng-WL-11-174595-12967490_7225_7239,reese witherspoon,ryan phillippe,per:children,f
AFP_ENG_20080116.0126.LDC2009T13,297432,AFP_ENG_20080116.0126.LDC2009T13_527_539,AFP_ENG_20080116.0126.LDC2009T13_610_619,fidel castro,president,per:schools_attended,f
AFP_ENG_20070729.0323.LDC2009T13,76088,AFP_ENG_20070729.0323.LDC2009T13_1097_1108,AFP_ENG_20070729.0323.LDC2009T13_1210_1219,raul castro,president,per:age,f
eng-WL-11-174595-12968493,47362,eng-WL-11-174595-12968493_927_942,eng-WL-11-174595-12968493_759_773,kevin federline,britney spears,per:children,f
XIN_ENG_20080303.0379.LDC2009T13,9266,XIN_ENG_20080303.0379.LDC2009T13_1688_1713,XIN_ENG_20080303.0379.LDC2009T13_1749_1758,luiz inacio lula da silva,president,per:LOCATION_of_residence,f
AFP_ENG_20070710.0292.LDC2009T13,147214,AFP_ENG_20070710.0292.LDC2009T13_352_364,AFP_ENG_20070710.0292.LDC2009T13_262_273,fidel castro,raul castro,per:children,f
APW_ENG_20071214.0492.LDC2009T13,76007,APW_ENG_20071214.0492.LDC2009T13_3885_3900,APW_ENG_20071214.0492.LDC2009T13_3908_3945,richard lindzen,massachusetts institute of technology,per:LOCATION_of_death,f
